,OID1,C_Distri_2,N_Distric,C_Neighbou,Neighbou_1,Man_1,Women_1,Total_1,Area_km2_1,Pop_dens_1,WEB_45,Household1,ratio_MW
47,47.0,8,Nou Barris,48,la Guineueta,7051.0,8096.0,15147.0,0.611414,24773.720171,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri48.pdf,54.4,0.8709239130434783
48,48.0,8,Nou Barris,49,Canyelles,3366.0,3656.0,7022.0,0.7925369999999999,8860.153144,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri49.pdf,54.4,0.9206783369803063
49,49.0,8,Nou Barris,50,les Roquetes,7603.0,8030.0,15633.0,0.641717,24361.217105,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri50.pdf,57.0,0.9468244084682441
50,50.0,8,Nou Barris,51,Verdun,5669.0,6625.0,12294.0,0.237436,51778.200244,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri51.pdf,53.8,0.8556981132075472
51,51.0,8,Nou Barris,52,la Prosperitat,12498.0,13797.0,26295.0,0.594805,44207.748879,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri52.pdf,55.1,0.9058490976299195
52,52.0,8,Nou Barris,53,la Trinitat Nova,3555.0,3914.0,7469.0,0.560081,13335.57705,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri53.pdf,40.6,0.9082779764946346
53,53.0,8,Nou Barris,54,Torre Baró,1368.0,1351.0,2719.0,1.768413,1537.536384,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri54.pdf,45.1,1.0125832716506291
54,54.0,8,Nou Barris,55,Ciutat Meridiana,5135.0,5214.0,10349.0,0.355408,29118.645027999995,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri55.pdf,34.3,0.9848484848484849
55,55.0,8,Nou Barris,56,Vallbona,658.0,690.0,1348.0,0.597791,2254.968739,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri56.pdf,51.9,0.9536231884057971
56,56.0,9,Sant Andreu,57,la Trinitat Vella,5376.0,4877.0,10253.0,0.8096979999999999,12662.743398,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri57.pdf,48.9,1.1023169981546033
57,57.0,9,Sant Andreu,58,Baró de Viver,1237.0,1304.0,2541.0,0.22991799999999998,11051.745399,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri58.pdf,72.6,0.9486196319018405
58,58.0,9,Sant Andreu,59,el Bon Pastor,6408.0,6358.0,12766.0,1.881775,6784.0189390000005,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri59.pdf,62.0,1.007864108210129
59,59.0,9,Sant Andreu,60,Sant Andreu,26805.0,30013.0,56818.0,1.841187,30859.445563999998,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri60.pdf,77.0,0.8931129843734382
60,60.0,9,Sant Andreu,61,la Sagrera,13634.0,15500.0,29134.0,0.9723709999999999,29961.823837,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri61.pdf,77.9,0.8796129032258064
61,61.0,9,Sant Andreu,62,el Congrés i els Indians,6429.0,7732.0,14161.0,0.407024,34791.541536000004,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri62.pdf,71.7,0.8314795654423176
62,62.0,9,Sant Andreu,63,Navas,10262.0,11797.0,22059.0,0.42334799999999995,52106.057658,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri63.pdf,84.3,0.8698821734339239
63,63.0,10,Sant Martí,64,el Camp de l'Arpa del Clot,17974.0,20387.0,38361.0,0.741733,51718.075351,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri64.pdf,82.7,0.8816402609506058
64,64.0,10,Sant Martí,65,el Clot,13062.0,14108.0,27170.0,0.6959529999999999,39039.975886,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri65.pdf,83.7,0.9258576694074284
65,65.0,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,7231.0,7719.0,14950.0,1.1140379999999999,13419.649136,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri66.pdf,92.1,0.9367793755667833
66,66.0,10,Sant Martí,67,la Vila Olímpica del Poblenou,4594.0,4785.0,9379.0,0.942887,9947.111853,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri67.pdf,162.0,0.9600835945663532
67,67.0,10,Sant Martí,68,el Poblenou,16353.0,17289.0,33642.0,1.544598,21780.426783000003,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri68.pdf,98.6,0.9458615304528891
68,68.0,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,6552.0,6896.0,13448.0,1.236939,10871.998375,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri69.pdf,152.6,0.9501160092807425
69,69.0,10,Sant Martí,70,el Besòs i el Maresme,11883.0,11371.0,23254.0,1.274426,18246.643249,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri70.pdf,54.7,1.045026822618943
70,70.0,10,Sant Martí,71,Provençals del Poblenou,9805.0,10501.0,20306.0,1.104976,18376.874102,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri71.pdf,98.7,0.9337205980382821
71,71.0,10,Sant Martí,72,Sant Martí de Provençals,12291.0,13905.0,26196.0,0.7454069999999999,35143.218059,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri72.pdf,68.7,0.8839266450916936
72,72.0,10,Sant Martí,73,la Verneda i la Pau,13827.0,15186.0,29013.0,1.1228049999999998,25839.751696,http://www.bcn.cat/estadistica/catala/dades/inf/barris/a2011/barri73.pdf,58.8,0.9105096799683919
